date,autoware_contributors,code_contributors,community_contributors
2022/01/01,1,1,0
2022/01/05,3,3,1
2022/01/06,5,4,2
2022/01/07,6,6,3
2022/01/08,6,6,4
2022/01/11,9,8,5
2022/01/12,13,9,8
2022/01/13,16,11,10
2022/01/14,18,13,10
2022/01/17,19,14,10
2022/01/18,22,16,13
2022/01/19,23,17,14
2022/01/20,24,18,15
2022/01/21,26,20,15
2022/01/25,27,21,15
2022/01/27,28,23,15
2022/01/28,29,24,15
2022/01/31,32,26,16
2022/02/01,33,26,17
2022/02/02,35,27,18
2022/02/03,36,28,18
2022/02/04,38,28,20
2022/02/07,41,31,20
2022/02/08,41,32,21
2022/02/09,41,33,21
2022/02/10,42,33,22
2022/02/12,42,34,22
2022/02/16,43,35,23
2022/02/22,44,36,23
2022/03/01,45,37,24
2022/03/04,46,38,24
2022/03/07,49,39,28
2022/03/09,50,39,29
2022/03/10,51,39,30
2022/03/11,52,39,31
2022/03/13,52,40,31
2022/03/15,55,41,34
2022/03/16,56,42,34
2022/03/17,57,42,35
2022/03/18,58,43,36
2022/03/21,59,44,36
2022/03/22,64,47,39
2022/03/23,64,48,40
2022/03/24,66,49,42
2022/03/25,67,49,43
2022/03/28,68,49,45
2022/03/29,71,52,46
2022/03/30,74,52,50
2022/03/31,78,53,54
2022/04/01,79,53,55
2022/04/04,81,53,57
2022/04/05,83,53,59
2022/04/06,85,57,59
2022/04/07,86,58,60
2022/04/08,86,59,60
2022/04/11,89,59,64
2022/04/12,91,59,66
2022/04/13,93,60,67
2022/04/14,95,60,69
2022/04/15,101,61,74
2022/04/19,103,61,77
2022/04/20,104,62,80
2022/04/21,104,63,80
2022/04/22,105,64,81
2022/04/25,108,66,83
2022/04/26,112,66,87
2022/04/27,113,66,88
2022/04/29,115,67,90
2022/05/04,116,67,91
2022/05/05,117,67,92
2022/05/06,117,67,93
2022/05/09,120,68,95
2022/05/10,120,68,96
2022/05/11,121,68,97
2022/05/12,123,70,99
2022/05/13,124,70,100
2022/05/16,125,71,101
2022/05/18,128,74,102
2022/05/19,129,76,103
2022/05/20,131,77,105
2022/05/24,132,77,106
2022/05/25,133,77,107
2022/05/26,134,77,109
2022/05/27,135,77,110
2022/05/30,136,78,112
2022/05/31,139,82,113
2022/06/01,140,82,114
2022/06/02,141,82,115
2022/06/05,143,83,116
2022/06/06,147,83,120
2022/06/07,149,84,121
2022/06/08,150,84,122
2022/06/09,153,87,122
2022/06/10,154,88,122
2022/06/14,156,90,124
2022/06/15,157,91,125
2022/06/16,158,91,126
2022/06/17,160,91,128
2022/06/20,164,91,132
2022/06/21,165,91,133
2022/06/22,166,91,134
2022/06/23,166,92,134
2022/06/25,166,93,134
2022/06/27,167,94,135
2022/06/28,168,94,136
2022/06/29,169,95,136
2022/06/30,171,95,138
2022/07/01,172,96,138
2022/07/04,172,97,138
2022/07/06,174,98,140
2022/07/07,175,98,141
2022/07/11,177,98,143
2022/07/12,181,98,147
2022/07/13,182,98,148
2022/07/15,183,99,148
2022/07/18,185,99,150
2022/07/20,186,99,152
2022/07/21,187,100,152
2022/07/26,188,102,154
2022/07/27,189,102,155
2022/07/28,190,102,157
2022/08/01,191,102,158
2022/08/02,192,102,159
2022/08/03,194,102,161
2022/08/05,195,102,162
2022/08/08,197,102,164
2022/08/09,198,103,165
2022/08/10,199,104,166
2022/08/12,199,105,166
2022/08/16,201,106,167
2022/08/18,201,107,167
2022/08/23,203,110,168
2022/08/26,206,110,171
2022/08/29,206,111,171
2022/08/30,207,111,172
2022/08/31,208,111,173
2022/09/01,209,111,174
2022/09/02,210,111,175
2022/09/03,211,111,176
2022/09/05,212,111,177
2022/09/06,213,111,178
2022/09/07,214,112,178
2022/09/08,215,113,179
2022/09/12,216,114,179
2022/09/13,217,114,180
2022/09/14,219,114,182
2022/09/15,220,115,183
2022/09/16,220,116,183
2022/09/18,221,117,183
2022/09/19,222,117,184
2022/09/20,223,117,185
2022/09/21,226,118,187
2022/09/22,226,118,188
2022/09/23,226,120,188
2022/09/26,227,120,189
2022/09/28,228,120,190
2022/10/04,229,120,191
2022/10/06,232,121,193
2022/10/07,233,123,194
2022/10/11,236,123,197
2022/10/12,237,123,198
2022/10/13,238,124,198
2022/10/17,239,125,199
2022/10/18,242,125,203
2022/10/20,243,125,205
2022/10/21,246,125,208
2022/10/22,246,126,208
2022/10/28,246,127,208
2022/10/31,246,128,208
2022/11/01,247,128,209
2022/11/02,251,129,213
2022/11/03,255,130,216
2022/11/07,256,131,217
2022/11/09,256,131,218
2022/11/11,257,131,219
2022/11/14,259,131,221
2022/11/15,260,131,222
2022/11/16,261,132,223
2022/11/17,261,134,223
2022/11/21,262,135,224
2022/11/22,262,135,225
2022/11/23,264,135,227
2022/11/24,267,136,229
2022/11/25,268,136,230
2022/11/28,270,136,232
2022/11/29,271,137,233
2022/12/01,272,138,234
2022/12/05,275,138,237
2022/12/06,275,139,237
2022/12/07,276,139,238
2022/12/08,278,139,240
2022/12/11,279,139,241
2022/12/12,281,139,243
2022/12/13,282,139,244
2022/12/15,284,139,246
2022/12/19,285,139,247
2022/12/20,289,140,250
2022/12/22,293,141,253
2022/12/29,294,141,254
2023/01/02,295,141,255
2023/01/03,295,142,255
2023/01/05,296,143,255
2023/01/06,297,143,256
2023/01/09,298,143,257
2023/01/10,299,143,258
2023/01/14,300,144,258
2023/01/15,301,144,259
2023/01/18,303,144,261
2023/01/19,304,144,262
2023/01/22,305,144,263
2023/01/23,307,145,264
2023/01/24,309,146,266
2023/01/25,311,146,268
2023/01/28,312,146,269
2023/01/29,313,146,270
